UnixTime,Row,QuestionKey,Timestamp,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Packet reception rate RAW
1680003145.5203495,65,,2023-03-28 17:02:25.520350,48204.0,13835804.0,376593.75,1680003145558.532,2521.0,3671.610256410256,20062.0,65.39058587881823,15.292721216066164,87.0
1680003145.5281622,66,,2023-03-28 17:02:25.528162,48205.0,13836060.0,376601.5625,1680003145566.3445,2521.0,3671.610256410256,20062.0,65.39058587881823,15.292721216066164,87.0
1680003145.5359747,67,,2023-03-28 17:02:25.535975,48206.0,13836316.0,376609.375,1680003145574.157,2505.0,3648.307692307692,20064.0,65.34695579649707,15.302931679238302,87.0
1680003145.5437872,68,,2023-03-28 17:02:25.543787,48207.0,13836572.0,376617.1875,1680003145581.9695,2514.0,3661.415384615385,20062.0,65.39058587881823,15.292721216066164,87.0
1680003145.5515995,69,,2023-03-28 17:02:25.551600,48208.0,13836828.0,376625.0,1680003145589.782,2524.0,3675.979487179487,20062.0,65.39058587881823,15.292721216066164,87.0
1680003145.5594122,70,,2023-03-28 17:02:25.559412,48209.0,13837084.0,376632.8125,1680003145597.5945,2520.0,3670.1538461538457,20062.0,65.39058587881823,15.292721216066164,87.0
1680003145.5672247,71,,2023-03-28 17:02:25.567225,48210.0,13837340.0,376640.625,1680003145605.407,2501.0,3642.48205128205,20064.0,65.34695579649707,15.302931679238302,87.0
1680003145.5750372,72,,2023-03-28 17:02:25.575037,48211.0,13837596.0,376648.4375,1680003145613.2195,2519.0,3668.6974358974353,20062.0,65.39058587881823,15.292721216066164,87.0
1680003145.5828495,73,,2023-03-28 17:02:25.582850,48212.0,13837852.0,376656.25,1680003145621.032,2524.0,3675.979487179487,20062.0,65.39058587881823,15.292721216066164,87.0
1680003145.5906622,74,,2023-03-28 17:02:25.590662,48213.0,13838108.0,376664.0625,1680003145628.8445,2530.0,3684.717948717948,20062.0,65.39058587881823,15.292721216066164,87.0
1680003145.5984747,75,,2023-03-28 17:02:25.598475,48214.0,13838364.0,376671.875,1680003145636.657,2510.0,3655.589743589743,20063.0,65.36876355748373,15.297826447652232,87.0
1680003145.6062872,76,,2023-03-28 17:02:25.606287,48215.0,13838620.0,376679.6875,1680003145644.4695,2528.0,3681.805128205128,20063.0,65.36876355748373,15.297826447652232,87.0
1680003145.6140995,77,,2023-03-28 17:02:25.614100,48216.0,13838876.0,376687.5,1680003145652.282,2524.0,3675.979487179487,20062.0,65.39058587881823,15.292721216066164,87.0
1680003145.6219122,78,,2023-03-28 17:02:25.621912,48217.0,13839132.0,376695.3125,1680003145660.0945,2530.0,3684.717948717948,20062.0,65.39058587881823,15.292721216066164,87.0
1680003145.6297247,79,,2023-03-28 17:02:25.629725,48218.0,13839388.0,376703.125,1680003145667.907,2513.0,3659.958974358974,20063.0,65.36876355748373,15.297826447652232,87.0
1680003145.6375372,80,,2023-03-28 17:02:25.637537,48219.0,13839644.0,376710.9375,1680003145675.7195,2515.0,3662.8717948717945,20062.0,65.39058587881823,15.292721216066164,87.0
1680003145.6453495,81,,2023-03-28 17:02:25.645350,48220.0,13839900.0,376718.75,1680003145683.532,2524.0,3675.979487179487,20061.0,65.41242277508766,15.287615984480096,87.0
1680003145.6531622,82,,2023-03-28 17:02:25.653162,48221.0,13840156.0,376726.5625,1680003145691.3445,2522.0,3673.0666666666657,20061.0,65.41242277508766,15.287615984480096,87.0
1680003145.6609747,83,,2023-03-28 17:02:25.660975,48222.0,13840412.0,376734.375,1680003145699.157,2511.0,3657.0461538461536,20062.0,65.39058587881823,15.292721216066164,87.0
1680003145.6687872,84,,2023-03-28 17:02:25.668787,48223.0,13840668.0,376742.1875,1680003145706.9695,2517.0,3665.7846153846153,20061.0,65.41242277508766,15.287615984480096,87.0
1680003145.6765995,85,,2023-03-28 17:02:25.676600,48224.0,13840924.0,376750.0,1680003145714.782,2524.0,3675.979487179487,20060.0,65.43427426089862,15.282510752894028,87.0
1680003145.6844122,86,,2023-03-28 17:02:25.684412,48225.0,13841180.0,376757.8125,1680003145722.5945,2524.0,3675.979487179487,20061.0,65.41242277508766,15.287615984480096,87.0
1680003145.6922247,87,,2023-03-28 17:02:25.692225,48226.0,13841436.0,376765.625,1680003145730.407,2506.0,3649.7641025641024,20062.0,65.39058587881823,15.292721216066164,87.0
